year,keyword,count
2006.0,Unnamed: 29,0
2007.0,Unnamed: 29,0
2008.0,Unnamed: 29,0
2009.0,Unnamed: 29,0
2010.0,Unnamed: 29,0
2011.0,Unnamed: 29,0
2012.0,Unnamed: 29,0
2013.0,Unnamed: 29,0
2014.0,Unnamed: 29,0
2015.0,Unnamed: 29,0
2016.0,Unnamed: 29,0
2017.0,Unnamed: 29,0
2018.0,Unnamed: 29,0
2019.0,Unnamed: 29,0
2020.0,Unnamed: 29,0
2021.0,Unnamed: 29,0
2022.0,Unnamed: 29,0
2023.0,Unnamed: 29,0
2024.0,Unnamed: 29,0
2025.0,Unnamed: 29,0
2005.0,Unnamed: 30,0
2006.0,Unnamed: 30,0
2007.0,Unnamed: 30,0
2008.0,Unnamed: 30,0
2009.0,Unnamed: 30,0
2010.0,Unnamed: 30,0
2011.0,Unnamed: 30,0
2012.0,Unnamed: 30,0
2013.0,Unnamed: 30,0
2014.0,Unnamed: 30,0
2015.0,Unnamed: 30,0
2016.0,Unnamed: 30,0
2017.0,Unnamed: 30,0
2018.0,Unnamed: 30,0
2019.0,Unnamed: 30,0
2020.0,Unnamed: 30,0
2021.0,Unnamed: 30,0
2022.0,Unnamed: 30,0
2023.0,Unnamed: 30,0
2024.0,Unnamed: 30,0
2025.0,Unnamed: 30,0
2005.0,Unnamed: 31,0
2006.0,Unnamed: 31,0
2007.0,Unnamed: 31,0
2008.0,Unnamed: 31,0
2009.0,Unnamed: 31,0
2010.0,Unnamed: 31,0
2011.0,Unnamed: 31,0
2012.0,Unnamed: 31,0
2013.0,Unnamed: 31,0
2014.0,Unnamed: 31,0
2015.0,Unnamed: 31,0
2016.0,Unnamed: 31,0
2017.0,Unnamed: 31,0
2018.0,Unnamed: 31,0
2019.0,Unnamed: 31,0
2020.0,Unnamed: 31,0
2021.0,Unnamed: 31,0
2022.0,Unnamed: 31,0
2023.0,Unnamed: 31,0
2024.0,Unnamed: 31,0
2025.0,Unnamed: 31,0
2005.0,Unnamed: 32,0
2006.0,Unnamed: 32,0
2007.0,Unnamed: 32,0
2008.0,Unnamed: 32,0
2009.0,Unnamed: 32,0
2010.0,Unnamed: 32,0
2011.0,Unnamed: 32,0
2012.0,Unnamed: 32,0
2013.0,Unnamed: 32,0
2014.0,Unnamed: 32,0
2015.0,Unnamed: 32,0
2016.0,Unnamed: 32,0
2017.0,Unnamed: 32,0
2018.0,Unnamed: 32,0
2019.0,Unnamed: 32,0
2020.0,Unnamed: 32,0
2021.0,Unnamed: 32,0
2022.0,Unnamed: 32,0
2023.0,Unnamed: 32,0
2024.0,Unnamed: 32,0
2025.0,Unnamed: 32,0
2005.0,Unnamed: 33,0
2006.0,Unnamed: 33,0
2007.0,Unnamed: 33,0
2008.0,Unnamed: 33,0
2009.0,Unnamed: 33,0
2010.0,Unnamed: 33,0
2011.0,Unnamed: 33,0
2012.0,Unnamed: 33,0
2013.0,Unnamed: 33,0
2014.0,Unnamed: 33,0
2015.0,Unnamed: 33,0
2016.0,Unnamed: 33,0
2017.0,Unnamed: 33,0
2018.0,Unnamed: 33,0
2019.0,Unnamed: 33,0
2020.0,Unnamed: 33,0
2021.0,Unnamed: 33,0
2022.0,Unnamed: 33,0
2023.0,Unnamed: 33,0
2024.0,Unnamed: 33,0
2025.0,Unnamed: 33,0
2005.0,Unnamed: 34,0
2006.0,Unnamed: 34,0
2007.0,Unnamed: 34,0
2008.0,Unnamed: 34,0
2009.0,Unnamed: 34,0
2010.0,Unnamed: 34,0
2011.0,Unnamed: 34,0
2012.0,Unnamed: 34,0
2013.0,Unnamed: 34,0
2014.0,Unnamed: 34,0
2015.0,Unnamed: 34,0
2016.0,Unnamed: 34,0
2017.0,Unnamed: 34,0
2018.0,Unnamed: 34,0
2019.0,Unnamed: 34,0
2020.0,Unnamed: 34,0
2021.0,Unnamed: 34,0
2022.0,Unnamed: 34,0
2023.0,Unnamed: 34,0
2024.0,Unnamed: 34,0
2025.0,Unnamed: 34,0
2005.0,Unnamed: 35,0
2006.0,Unnamed: 35,0
2007.0,Unnamed: 35,0
2008.0,Unnamed: 35,0
2009.0,Unnamed: 35,0
2010.0,Unnamed: 35,0
2011.0,Unnamed: 35,0
2012.0,Unnamed: 35,0
2013.0,Unnamed: 35,0
2014.0,Unnamed: 35,0
2015.0,Unnamed: 35,0
2016.0,Unnamed: 35,0
2017.0,Unnamed: 35,0
2018.0,Unnamed: 35,0
2019.0,Unnamed: 35,0
2020.0,Unnamed: 35,0
2021.0,Unnamed: 35,0
2022.0,Unnamed: 35,0
2023.0,Unnamed: 35,0
2024.0,Unnamed: 35,0
2025.0,Unnamed: 35,0
2005.0,Unnamed: 36,0
2006.0,Unnamed: 36,0
2007.0,Unnamed: 36,0
2008.0,Unnamed: 36,0
2009.0,Unnamed: 36,0
2010.0,Unnamed: 36,0
2011.0,Unnamed: 36,0
2012.0,Unnamed: 36,0
2013.0,Unnamed: 36,0
2014.0,Unnamed: 36,0
2015.0,Unnamed: 36,0
2016.0,Unnamed: 36,0
2017.0,Unnamed: 36,0
2018.0,Unnamed: 36,0
2019.0,Unnamed: 36,0
2020.0,Unnamed: 36,0
2021.0,Unnamed: 36,0
2022.0,Unnamed: 36,0
2023.0,Unnamed: 36,0
2024.0,Unnamed: 36,0
2025.0,Unnamed: 36,0
2005.0,Unnamed: 37,0
2006.0,Unnamed: 37,0
2007.0,Unnamed: 37,0
2008.0,Unnamed: 37,0
2009.0,Unnamed: 37,0
2010.0,Unnamed: 37,0
2011.0,Unnamed: 37,0
2012.0,Unnamed: 37,0
2013.0,Unnamed: 37,0
2014.0,Unnamed: 37,0
2015.0,Unnamed: 37,0
2016.0,Unnamed: 37,0
2017.0,Unnamed: 37,0
2018.0,Unnamed: 37,0
2019.0,Unnamed: 37,0
2020.0,Unnamed: 37,0
2021.0,Unnamed: 37,0
2022.0,Unnamed: 37,0
2023.0,Unnamed: 37,0
2024.0,Unnamed: 37,0
2025.0,Unnamed: 37,0
2005.0,Unnamed: 38,0
2006.0,Unnamed: 38,0
2007.0,Unnamed: 38,0
2008.0,Unnamed: 38,0
2009.0,Unnamed: 38,0
2010.0,Unnamed: 38,0
2011.0,Unnamed: 38,0
2012.0,Unnamed: 38,0
2013.0,Unnamed: 38,0
2014.0,Unnamed: 38,0
2015.0,Unnamed: 38,0
2016.0,Unnamed: 38,0
2017.0,Unnamed: 38,0
2018.0,Unnamed: 38,0
2019.0,Unnamed: 38,0
2020.0,Unnamed: 38,0
2021.0,Unnamed: 38,0
2022.0,Unnamed: 38,0
2023.0,Unnamed: 38,0
2024.0,Unnamed: 38,0
2025.0,Unnamed: 38,0
2005.0,Unnamed: 39,0
2006.0,Unnamed: 39,0
2007.0,Unnamed: 39,0
2008.0,Unnamed: 39,0
2009.0,Unnamed: 39,0
2010.0,Unnamed: 39,0
2011.0,Unnamed: 39,0
2012.0,Unnamed: 39,0
2013.0,Unnamed: 39,0
2014.0,Unnamed: 39,0
2015.0,Unnamed: 39,0
2016.0,Unnamed: 39,0
2017.0,Unnamed: 39,0
2018.0,Unnamed: 39,0
2019.0,Unnamed: 39,0
2020.0,Unnamed: 39,0
2021.0,Unnamed: 39,0
2022.0,Unnamed: 39,0
2023.0,Unnamed: 39,0
2024.0,Unnamed: 39,0
2025.0,Unnamed: 39,0
2005.0,Unnamed: 40,0
2006.0,Unnamed: 40,0
2007.0,Unnamed: 40,0
2008.0,Unnamed: 40,0
2009.0,Unnamed: 40,0
2010.0,Unnamed: 40,0
2011.0,Unnamed: 40,0
2012.0,Unnamed: 40,0
2013.0,Unnamed: 40,0
2014.0,Unnamed: 40,0
2015.0,Unnamed: 40,0
2016.0,Unnamed: 40,0
2017.0,Unnamed: 40,0
2018.0,Unnamed: 40,0
2019.0,Unnamed: 40,0
2020.0,Unnamed: 40,0
2021.0,Unnamed: 40,0
2022.0,Unnamed: 40,0
2023.0,Unnamed: 40,0
2024.0,Unnamed: 40,0
2025.0,Unnamed: 40,0
2005.0,Unnamed: 41,0
2006.0,Unnamed: 41,0
2007.0,Unnamed: 41,0
2008.0,Unnamed: 41,0
2009.0,Unnamed: 41,0
2010.0,Unnamed: 41,0
2011.0,Unnamed: 41,0
2012.0,Unnamed: 41,0
2013.0,Unnamed: 41,0
2014.0,Unnamed: 41,0
2015.0,Unnamed: 41,0
2016.0,Unnamed: 41,0
2017.0,Unnamed: 41,0
2018.0,Unnamed: 41,0
2019.0,Unnamed: 41,0
2020.0,Unnamed: 41,0
2021.0,Unnamed: 41,0
2022.0,Unnamed: 41,0
2023.0,Unnamed: 41,0
2024.0,Unnamed: 41,0
2025.0,Unnamed: 41,0
2005.0,Unnamed: 42,0
2006.0,Unnamed: 42,0
2007.0,Unnamed: 42,0
